Sample ID,weight_g,progesterone_ng_ml,cortisol_ng_ml,androstenedione_ng_ml
2V1116_22+4,0.85,3.611,1.614,0.206
2V1553_23+6,1.25,1.3215,0.8415,0.0405
2V1553_15+1,1.42,2.5415,1.523,0.168
2V1083_20+2,1.09,2.985,0.3565,0.0475
2V1545_14+2,0.71,1,1.156,0.057
2V1070_20+5,0.7,0.8655,1.024,0.0785
2V1544_19+1,1.23,2.5435,0.7255,0.0205
2V1538_14+6,0.46,0.534,0.7315,0.033
2V969_24+2,1.27,NA,NA,NA
2V1534_24+1,0.73,2.8235,1.1715,0.047
2V1534_16+1,1.21,1.381,1.18,0.0685
2V966_18+4,1.06,1.3085,0.8715,0.068
2V1030_13+6,0.83,0.4565,0.1905,0.107
2V934_14+6,1.3,1.308,0.4295,0.0685
2V1094_14+5,0.62,0.879,2.189,0.1405
2V1163_20+2,0.8,7.376,2.427,0.077
2V1465_21+4,0.44,3.1165,0.8315,0.065
2V1465_15+4,0.66,0.768,0.618,0.0715
2V1176_20+4,0.72,2.185,1.519,0.0805
2V1284_14+2,0.54,1.051,2.1485,0.105
2V1289_16+1,0.93,0.616,1.402,0.122
2V1383_20+6,0.4,7.3805,0.752,0.0685
2V1383_12+6,0.6,0.9805,0.5035,0.0695
2V1096_15+3,2.07,2.5325,1.256,0.127
2V1592_23+5,0.14,2.218,1.067,0.089
2V1384_20+6,0.63,1.0115,0.0995,0.03
2V1384_14+6,2.85,1.301,0.0475,0.0175
2V1673_21+0,0.42,3.022,0.425,0.103
2V1486_16+4,0.57,3.408,1.0105,0.0525
2V1514_15+3,1.53,3.1195,0.3905,0.0705
